"site","observers","date","start_time","weather","past_12_hours","site_notes","probe_depth","soil_temp_plot1","vwc_plot1","plot_1_period","soil_temp_plot2","vwc_plot2","plot_2_period","soil_temp_plot3","vwc_plot3","plot_3_period","soil_temp_plot4","vwc_plot4","plot_4_period","soil_temp_plot5","vwc_plot5","plot_5_period","soil_temp_plot6","vwc_plot6","plot_6_period"
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",12,10.1,131,1.42,9.7,95,1.29,9.4,81,1.23,11,145,1.46,10,110,1.34,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",20,10.1,128,1.77,9.7,107,1.64,9.4,75,1.44,11,122,1.73,10,102,1.61,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",20,10.1,123,1.74,9.7,113,1.68,9.4,72,1.42,11,111,1.67,10,86,1.51,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",20,10.1,136,1.81,9.7,118,1.7,9.4,72,1.42,11,111,1.67,10,107,1.64,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",20,10.1,143,1.85,9.7,118,1.71,9.4,71,1.41,11,98,1.59,10,115,1.69,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",20,10.1,126,1.75,9.7,129,1.77,9.4,76,1.44,11,105,1.63,10,100,1.6,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",6,10.7,1,0.77,13,9,0.84,11.8,4,0.8,13,6,0.82,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",6,10.7,10,0.85,13,11,0.85,11.8,12,0.86,13,7,0.83,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",6,10.7,7,0.83,13,10,0.85,11.8,13,0.87,13,6,0.82,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",6,10.7,4,0.8,13,11,0.85,11.8,9,0.84,13,9,0.84,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",6,10.7,6,0.82,13,9,0.84,11.8,20,0.92,13,7,0.82,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",12,10.7,7,0.83,13,5,0.81,11.8,8,0.83,13,9,0.84,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",12,10.7,9,0.84,13,9,0.84,11.8,32,0.99,13,17,0.9,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",12,10.7,8,0.83,13,11,0.86,11.8,15,0.88,13,15,0.88,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",12,10.7,12,0.86,13,9,0.84,11.8,18,0.9,13,31,0.98,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",12,10.7,11,0.86,13,13,0.87,11.8,13,0.87,13,15,0.89,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",20,10.7,12,0.92,13,11,0.91,11.8,18,0.98,13,12,0.92,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",20,10.7,6,0.86,13,12,0.92,11.8,8,0.88,13,25,1.05,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",20,10.7,12,0.92,13,12,0.92,11.8,14,0.94,13,29,1.08,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",20,10.7,15,0.95,13,10,0.92,11.8,12,0.92,13,20,1,-9999,-9999,-9999,-9999,-9999,-9999
"ZF14-17-1","HS, LBC, DU",2019-08-14,"14:41","Overcast, 60 F","showers","Moved flags 3 and 4 because too close to rocky areas",20,10.7,4,0.83,13,11,0.91,11.8,19,0.99,13,17,0.97,-9999,-9999,-9999,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",6,12,10,0.85,12.6,23,0.94,11.4,13,0.87,12.1,12,0.86,12.5,11,0.86,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",6,12,12,0.86,12.6,17,0.9,11.4,10,0.85,12.1,8,0.83,12.5,9,0.84,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",6,12,9,0.84,12.6,22,0.93,11.4,9,0.84,12.1,15,0.88,12.5,15,0.88,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",6,12,10,0.85,12.6,13,0.87,11.4,9,0.84,12.1,14,0.88,12.5,11,0.85,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",6,12,10,0.85,12.6,13,0.87,11.4,10,0.85,12.1,13,0.87,12.5,12,0.86,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",12,12,12,0.87,12.6,20,0.91,11.4,10,0.85,12.1,12,0.86,12.5,11,0.85,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",12,12,13,0.87,12.6,16,0.89,11.4,14,0.87,12.1,15,0.88,12.5,13,0.87,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",12,12,11,0.86,12.6,22,0.93,11.4,14,0.87,12.1,10,0.85,12.5,13,0.87,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",12,12,10,0.85,12.6,24,0.94,11.4,16,0.89,12.1,16,0.89,12.5,16,0.89,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot order: C, 1, 2, 3, 4",12,12,10,0.85,12.6,19,0.91,11.4,15,0.88,12.1,13,0.87,12.5,13,0.87,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot 5 too sandy/rocky; Plot order: C, 1, 2, 3, 4",20,12,13,0.93,12.6,20,0.99,11.4,8,0.88,12.1,26,1.05,12.5,-9999,-9999,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot 5 too sandy/rocky; Plot order: C, 1, 2, 3, 5",20,12,14,0.93,12.6,20,1,11.4,8,0.88,12.1,23,1.02,12.5,-9999,-9999,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot 5 too sandy/rocky; Plot order: C, 1, 2, 3, 6",20,12,11,0.91,12.6,20,1,11.4,10,0.9,12.1,19,0.99,12.5,-9999,-9999,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot 5 too sandy/rocky; Plot order: C, 1, 2, 3, 7",20,12,12,0.92,12.6,21,1.01,11.4,11,0.91,12.1,18,0.98,12.5,-9999,-9999,-9999,-9999,-9999
"VALZF20-200","PS, CW, SR",2019-08-14,"16:30","Partly cloudy","showers","Plot 5 too sandy/rocky; Plot order: C, 1, 2, 3, 8",20,12,13,0.93,12.6,18,0.98,11.4,8,0.88,12.1,22,1.01,12.5,-9999,-9999,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",6,5.2,11,0.85,5.1,22,0.93,5,6,0.81,6,12,0.86,6.4,7,0.83,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",6,5.2,13,0.87,5.1,21,0.92,5,6,0.82,6,14,0.87,6.4,10,0.85,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",6,5.2,6,0.82,5.1,38,1.03,5,6,0.82,6,20,0.92,6.4,16,0.89,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",6,5.2,6,0.81,5.1,12,0.86,5,6,0.82,6,8,0.83,6.4,8,0.84,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",6,5.2,7,0.83,5.1,11,0.86,5,4,0.81,6,11,0.85,6.4,8,0.83,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",12,5.2,31,0.98,5.1,30,0.98,5,6,0.81,6,17,0.9,6.4,17,0.9,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",12,5.2,11,0.85,5.1,19,0.91,5,13,0.87,6,19,0.91,6.4,16,0.89,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",12,5.2,39,1.03,5.1,26,0.95,5,6,0.81,6,24,0.94,6.4,32,0.99,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",12,5.2,39,1.03,5.1,56,1.11,5,7,0.82,6,18,0.9,6.4,36,1.01,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",12,5.2,18,0.9,5.1,20,0.92,5,6,0.82,6,33,1,6.4,15,0.88,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",20,5.2,33,1.12,5.1,51,1.26,5,1,0.86,6,20,1.08,6.4,40,1.17,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",20,5.2,51,1.27,5.1,72,1.41,5,18,0.98,6,25,1.05,6.4,28,1.07,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",20,5.2,35,1.13,5.1,71,1.41,5,6,0.85,6,16,0.96,6.4,38,1.16,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",20,5.2,46,1.23,5.1,69,1.4,5,8,0.87,6,17,0.97,6.4,37,1.15,-9999,-9999,-9999
"VALZF20-202","MB, CW",2019-08-14,"15:00","Light drizzle, mid-high 50s","overcast","Plot order: C, 1, 2, 3, 4",20,5.2,18,0.98,5.1,67,1.38,5,8,0.88,6,20,0.99,6.4,38,1.16,-9999,-9999,-9999
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",6,11.1,16,0.89,12.6,37,1.02,10,30,0.98,8.9,14,0.88,10.1,10,0.85,11.2,14,0.88
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",6,11.1,75,1.2,12.6,42,1.05,10,57,1.12,8.9,3,0.79,10.1,9,0.84,11.2,25,0.95
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",6,11.1,107,1.33,12.6,35,1,10,40,1.03,8.9,22,0.93,10.1,11,0.85,11.2,8,0.83
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",6,11.1,128,1.41,12.6,50,1.09,10,62,1.15,8.9,10,0.85,10.1,17,0.9,11.2,32,0.99
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",6,11.1,78,1.21,12.6,78,1.22,10,20,0.91,8.9,11,0.85,10.1,20,0.92,11.2,28,0.97
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",12,11.1,39,1.03,12.6,54,1.1,10,41,1.04,8.9,14,0.87,10.1,14,0.88,11.2,14,0.87
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",12,11.1,96,1.29,12.6,63,1.15,10,43,1.05,8.9,8,0.83,10.1,18,0.9,11.2,24,0.94
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",12,11.1,87,1.25,12.6,72,1.19,10,34,1,8.9,9,0.84,10.1,13,0.87,11.2,15,0.88
"ZF14-10","HS, LBC, DU",2019-08-15,"9:24","Overcast, 55 F","overcast","",12,11.1,112,1.35,12.6,88,1.26,10,38,1.02,8.9,19,0.91,10.1,10,0.85,11.2,20,0.92
