"site","plot","date","observers","plot_size","life_form","species","status","condition","diameter_type","diameter","height","height_to_lowest_living_branch","notes"
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",6,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Ledum groenlandicum","Live","standing","basal",0.8,1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Ledum groenlandicum","Live","standing","basal",0.9,1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Larix larcina","Live","standing","DBH",4,6,5.75,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Larix larcina","Live","standing","DBH",4,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Betula pumila","Live","standing","basal",0.7,1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Larix larcina","Live","standing","DBH",7,7,2,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",6,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",4.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Larix larcina","Live","standing","DBH",1,1.75,0.04,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",6,8,1.5,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",3,1.25,0.02,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",11,18,2,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Dead","standing","basal",17.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",16,21,0.15,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Dead","standing","basal",22.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",16,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",2.25,1.5,0.3,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",5.5,2.5,0.5,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",7,7,1,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",7,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Dead","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",4.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",6.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",12,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",4.4,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Larix larcina","Live","standing","basal",6,7,2.5,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",3.7,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Dead","standing","basal",4,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Dead","standing","basal",2,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",4.2,-9999,-9999,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",2,1.5,0.1,""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW","5X10","Tree","Picea mariana","Live","standing","basal",2.3,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5.5,10,8,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5,5,1.5,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",7.5,10,3,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",6,8,4,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",11,14,3,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Shrub","Potentilla sp.","Live","standing","basal",0.4,1,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",6,7,4,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",14.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",8.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",8,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Shrub","Salix sp.","Live","standing","basal",2.1,4,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",8.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",16.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",9.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Shrub","Salix sp.","Live","standing","basal",1.1,2,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Shrub","Salix sp.","Live","standing","basal",1.5,2,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",6.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",7,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Shrub","Salix sp.","Live","standing","basal",2,4,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",8,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5.5,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",9,-9999,-9999,""
"VALSS50-4","B1","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.5,1.5,1,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Dead","standing","basal",1.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5.5,7,1.5,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,1.25,0.3,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",9,10,2,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5,5,1.75,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.5,1.5,1,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Shrub","Potentilla sp.","Live","standing","basal",0.6,1,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Shrub","Juniperus sp.","Live","standing","basal",1,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Shrub","Ledum groenlandicum","Live","standing","basal",0.6,1,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Larix larcina","Live","standing","DBH",9,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Shrub","Ledum groenlandicum","Live","standing","basal",0.7,1.2,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Shrub","Ledum groenlandicum","Live","standing","basal",0.8,1,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Shrub","Ledum groenlandicum","Live","standing","basal",0.7,1,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",3.5,3,1.5,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",1.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Shrub","Ledum groenlandicum","Live","standing","basal",0.9,1,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.25,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",1,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS50-4","B2","2019-08-17","PS, SR, CW","5X5","Tree","Picea mariana","Live","standing","basal",5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",10.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","fallen","basal",5.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",10.25,16,10,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",2,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",11,18,1,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",17.5,22,5,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",10,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",24.2,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","fallen","basal",7,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",2.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","fallen","basal",8.25,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",5.5,-9999,-9999,"snapped at top"
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",7,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",15,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",4,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",5.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",10,20,15,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","fallen","basal",9.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",9.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",12.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","fallen","basal",9,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",10.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",12,-9999,-9999,"snapped"
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",19,17,13,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Populus balsamifera","Dead","standing","DBH",7,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","standing","basal",10,-9999,-9999,"snapped"
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Dead","fallen","basal",7.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",6.5,-9999,-9999,""
"VALZF20-1","B1","2019-08-16","PS, SR, CW","10x10","Tree","Picea mariana","Live","standing","basal",6,-9999,-9999,""
